horizontal_coordinate vertical_coordinate response covariate_01 covariate_02
0.53 2.26 -2.5 2.8 20.72
0.58 1.48 -1.24 2.07 8.3
0.59 1.39 -1.06 1.98 7.08
0.69 2.78 -3.82 3.47 31.73
0.67 1.61 -1.5 2.27 9.92
0.84 3.16 -4.97 4 41.1
0.71 1.95 -2.21 2.66 15.21
0.1 3.09 -2.46 3.19 39.3
0.52 2.58 -3 3.1 27.22
0.24 2.78 -2.4 3.01 31.59
0.45 2.69 -2.96 3.15 29.67
0.65 1.72 -1.71 2.37 11.57
0.15 2.41 -1.83 2.56 23.66
0.65 2.95 -4.03 3.6 35.78
0.38 2.07 -1.87 2.45 17.17
0.31 0.97 -0.33 1.28 2.72
0.57 1.26 -0.84 1.83 5.64
0.13 1.12 -0.44 1.25 4.14
0.92 1.92 -2.16 2.84 14.65
0.65 3.19 -4.47 3.84 41.89
0.46 2.74 -3.06 3.2 30.8
0.1 2.27 -1.61 2.36 20.8
0.21 2.37 -1.88 2.58 22.83
0.92 1.03 -0.04 1.95 3.23
0.32 2.9 -2.8 3.22 34.59
0.27 1.68 -1.17 1.94 10.94
0.72 1.86 -2.02 2.58 13.67
0.38 2.29 -2.16 2.67 21.21
0.03 0.86 -0.16 0.89 1.85
0.52 2.27 -2.49 2.8 20.95
0.26 2.92 -2.65 3.18 35
0.17 0.91 -0.22 1.07 2.2
0.48 1.95 -1.9 2.44 15.24
0.33 3.13 -3.12 3.46 40.3
0.93 2.68 -3.97 3.6 29.31
0.56 1.9 -1.93 2.46 14.34
0.18 2.99 -2.51 3.17 36.84
0.97 2.52 -3.59 3.49 25.84
0.49 1.55 -1.27 2.04 9.21
0.59 1.22 -0.77 1.81 5.21
0.72 1.05 -0.38 1.77 3.43
0.69 2.01 -2.31 2.71 16.25
0.18 1.03 -0.36 1.21 3.31
0.95 1.31 -0.66 2.26 6.14
0.69 2.03 -2.34 2.72 16.54
0.16 1.49 -0.85 1.65 8.37
0.58 3.03 -3.94 3.61 37.87
0.65 1.65 -1.59 2.31 10.61
0.83 1.18 -0.55 2.02 4.8
0.07 1.94 -1.25 2 14.93
0.12 1.22 -0.54 1.34 5.18
0.89 2.66 -3.91 3.55 28.97
0.56 2.53 -3.01 3.09 26.2
0.52 1.15 -0.64 1.66 4.39
0.13 2.23 -1.61 2.36 20.13
0.15 1.55 -0.91 1.7 9.22
0.16 2.15 -1.56 2.31 18.56
0.56 2.54 -3.04 3.1 26.43
0.67 1.93 -2.13 2.6 14.84
0.15 2.33 -1.73 2.48 22
0.57 2.39 -2.79 2.96 23.18
0.76 2.58 -3.56 3.34 27.29
0.57 2.43 -2.85 2.99 23.97
0.78 1.63 -1.57 2.41 10.33
0.68 1.7 -1.69 2.38 11.25
0.22 0.86 -0.18 1.08 1.83
0.28 2.1 -1.7 2.38 17.66
0.09 2.65 -2 2.75 28.79
0.59 2.34 -2.76 2.93 22.16
0.36 2.36 -2.2 2.72 22.64
0.15 1.67 -1.04 1.82 10.8
0.47 2.02 -1.96 2.48 16.28
0.28 1.2 -0.6 1.47 4.93
0.4 1.98 -1.77 2.37 15.58
0.31 2.29 -2.01 2.6 21.3
0.59 1.69 -1.6 2.28 11.15
0.15 2.58 -2.01 2.73 27.22
0.64 1.44 -1.18 2.08 7.73
0.01 1.84 -1.14 1.84 13.36
0.82 1.47 -1.2 2.29 8.13
0.74 2.03 -2.39 2.77 16.53
0.65 2.7 -3.57 3.36 29.88
0.44 3.04 -3.43 3.48 37.92
0.44 1.02 -0.43 1.46 3.17
0.79 1.79 -1.9 2.57 12.54
0.46 1.66 -1.41 2.12 10.72
0.98 2.45 -3.42 3.43 24.41
0.37 1.88 -1.59 2.25 14.07
1 1.54 -1.14 2.53 8.97
0.47 3.15 -3.74 3.63 40.95
0.22 2.86 -2.46 3.08 33.5
0.03 1.34 -0.64 1.37 6.52
0.23 1.94 -1.43 2.17 15
0.61 0.85 -0.1 1.46 1.73
0.37 2.51 -2.45 2.88 25.74
0.31 1.15 -0.55 1.45 4.4
0.16 3.15 -2.63 3.31 40.86
0.45 3.15 -3.62 3.59 40.75
0.68 2.25 -2.77 2.93 20.53
0.69 2.88 -4 3.56 33.98
0.83 2.43 -3.33 3.26 24.09
0.11 1.77 -1.12 1.89 12.37
0.56 0.83 -0.11 1.39 1.61
0.19 2.54 -2.04 2.73 26.39
0.05 2.37 -1.68 2.41 22.75
0.64 2.67 -3.47 3.31 29.17
0 1.13 -0.43 1.14 4.28
0.5 1.46 -1.14 1.96 8.02
0.48 2.7 -3.06 3.18 29.88
0.08 2.25 -1.57 2.32 20.42
0.17 2.27 -1.71 2.44 20.93
0.6 1.66 -1.56 2.26 10.73
0.49 1.61 -1.38 2.11 10.02
0.82 3.2 -5.02 4.02 42.11
0.88 2.98 -4.63 3.86 36.38
0.2 1.7 -1.11 1.9 11.26
0.46 0.78 -0.06 1.24 1.18
0.01 0.88 -0.18 0.89 2.02
0.62 2.71 -3.51 3.33 30.1
0.63 2.05 -2.31 2.68 16.89
0.31 2.27 -1.98 2.58 20.79
0.78 2.97 -4.41 3.75 36.25
1 1.7 -1.56 2.7 11.3
0.51 2.59 -2.99 3.1 27.47
0.59 2.58 -3.2 3.18 27.27
0.11 3.01 -2.39 3.12 37.19
0.21 2.83 -2.4 3.04 32.79
0.51 1.1 -0.56 1.61 3.96
0.65 1.69 -1.66 2.35 11.18
0.68 2.34 -2.94 3.02 22.26
0.59 2.79 -3.58 3.39 32.03
0.57 0.78 0 1.34 1.18
0.29 1.53 -1.02 1.83 8.94
0.62 1.13 -0.61 1.76 4.27
0.73 1.86 -2.05 2.6 13.78
0.25 1.86 -1.37 2.11 13.77
0.73 2.78 -3.91 3.51 31.77
0.52 0.84 -0.14 1.36 1.7
0.35 1.28 -0.75 1.63 5.8
0.54 1.8 -1.73 2.34 12.79
0.8 1.54 -1.37 2.34 9.07
0.12 2.77 -2.16 2.89 31.45
0.97 1.63 -1.43 2.6 10.32
0.66 2.27 -2.76 2.93 20.95
0.52 2.98 -3.66 3.51 36.61
0.41 1.64 -1.31 2.05 10.39
0.81 0.88 0.08 1.69 2.01
0.2 0.95 -0.28 1.15 2.6
0.9 1.2 -0.49 2.1 4.96
0.42 0.93 -0.29 1.35 2.37
0.5 1.98 -1.97 2.48 15.65
0.51 2.91 -3.47 3.41 34.7
0.91 2.17 -2.75 3.08 18.93
0.15 1.31 -0.65 1.46 6.14
0.94 1.17 -0.36 2.11 4.67
0.98 1.52 -1.13 2.49 8.72
0.42 3.25 -3.68 3.67 43.49
0.81 1.65 -1.6 2.46 10.52
0.03 2.38 -1.68 2.41 23
0.92 3.09 -4.94 4.01 39.23
0.21 2.79 -2.36 3 31.91
0.55 2.32 -2.64 2.87 21.8
0.09 1.68 -1 1.76 10.93
0.05 2.1 -1.41 2.15 17.77
0.15 2.89 -2.35 3.05 34.36
0.59 2.82 -3.6 3.41 32.72
0.92 1.16 -0.36 2.07 4.51
0.02 2.06 -1.36 2.08 16.95
0.18 2.37 -1.82 2.55 22.89
0.08 1.57 -0.89 1.65 9.44
0.49 2.59 -2.92 3.08 27.47
0.67 2.82 -3.84 3.49 32.75
0.03 2.03 -1.33 2.06 16.47
0.88 1.48 -1.18 2.36 8.3
0.8 1.85 -2.03 2.64 13.48
0.07 0.95 -0.26 1.02 2.6
0.37 1.29 -0.79 1.66 5.98
0.11 2.2 -1.56 2.31 19.58
0.83 3.24 -5.11 4.06 43.15
0.61 2.16 -2.48 2.77 18.84
0.64 2.82 -3.75 3.46 32.56
0.72 1.13 -0.54 1.85 4.2
0.09 2.36 -1.7 2.45 22.71
0.21 1.52 -0.92 1.72 8.7
0.27 3.24 -3.06 3.51 43.17
0.52 1 -0.39 1.52 2.97
0.78 1.45 -1.17 2.22 7.82
0.29 2.09 -1.71 2.38 17.63
0.99 0.81 0.64 1.8 1.46
0.31 2.35 -2.08 2.66 22.42
0.58 2.56 -3.13 3.15 26.87
0.7 1.65 -1.61 2.36 10.61
0.54 2.83 -3.46 3.37 32.78
0.01 2.51 -1.81 2.52 25.68
0.6 1.81 -1.83 2.41 12.86
0.09 2.28 -1.62 2.37 21.06
0.65 1.17 -0.67 1.82 4.64
0.44 2.43 -2.52 2.87 24.1
0.59 1.3 -0.91 1.88 6.03
0.23 2.48 -2.04 2.71 25.11
0.82 1.99 -2.35 2.81 15.85
0.39 2.26 -2.15 2.65 20.77
0.12 1.14 -0.46 1.26 4.35
0.84 2.37 -3.21 3.22 22.91
0.25 3.17 -2.91 3.42 41.4
0.43 1.68 -1.4 2.11 10.96
0.12 3.07 -2.47 3.19 38.76
0.1 2.92 -2.29 3.02 35.13
0.01 1.87 -1.17 1.88 13.84
0.19 3.09 -2.63 3.27 39.17
0.46 1.16 -0.65 1.63 4.59
0.42 1.6 -1.27 2.02 9.82
0.78 1.63 -1.56 2.41 10.22
0.2 2.12 -1.58 2.32 18.08
0.47 0.95 -0.32 1.42 2.54
0.79 2.37 -3.15 3.16 22.79
